    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    1252      PL16*1080     2     S235JR         1381       2.1       124.8
    1253      PL10*120      4     S235JR          540       0.1         5.1
    1254      PL10*110      4     S235JR         1080       0.3         9.3
    1255      PL13*165      2     S235JR          390       0.1         6.6
    1256      PL4*165       2     S235JR          540       0.1         1.4
    1257      PL6*206       2     S235JR          221       0.1         1.4
    1258      PL6*110       2     S235JR          206       0.0         1.0
    1259      PL690*10      1     S235JR          475       0.7        26.5
    1260      PL19*750      8     S235JR          300       0.5        33.6
    1261      PL6*234       2     S235JR          540       0.2         5.2
    1263      PL6*180       7     S235JR          421       0.1         3.3
    1265      PL6.6*75      7     S235JR          150       0.0         0.2
    1266      PL6*234       7     S235JR          398       0.2         3.6
    1267      PL6*234       2     S235JR          398       0.2         4.2
    1269      PL7.5*75      14    S235JR          150       0.0         0.3
    1270      PL6*234       14    S235JR          444       0.2         4.5
    1271      PL6*234       7     S235JR          444       0.2         4.5
    1272      PL6*180       12    S235JR          421       0.1         2.7
    1273      PL6*234       7     S235JR          444       0.2         3.9
    1274      PL19*200      1     S235JR          697       0.3        20.8
    1275      PL19*200      3     S235JR          697       0.3        20.8
    1276      PL19*200      2     S235JR          807       0.4        24.1
    1277      PL6*154       2     S235JR          250       0.1         1.7
    1278      PL19*200      1     S235JR          801       0.4        23.9
    1279      PL19*192      2     S235JR         1208       0.5        34.5
    1280      PL19*552      2     S235JR         1805       1.1        76.4
    1282      PL19*1276     2     S235JR         1536       1.3        90.1
    1284      PL19*308      1     S235JR         1797       1.1        74.4
    1287      PL19*1270     2     S235JR         1270       1.2        79.1
    1290      PL19*190      2     S235JR         1321       0.6        37.3
    1291      PL19*736      2     S235JR         1200       0.8        54.0
    1293      PL10*200      1     S235JR          810       0.3        12.7
    1294      PL10*161      1     S235JR          279       0.1         3.1
    1295      PL10*235      8     S235JR          398       0.2         7.0
    1296      PL19*308      1     S235JR         1797       1.0        64.7
    1298      PL19*317      4     S235JR         1798       1.0        65.0
    1300      PL6*144       4     S235JR          398       0.1         2.7
    1301      PL19*300      1     S235JR          400       0.3        17.9
    1302      PL19*250      1     S235JR         1580       0.8        53.0
    1303      PL10*234      1     S235JR          398       0.2         5.5
    1304      PL19*450      2     S235JR         1840       1.2        83.8
    1305      PL19*313      2     S235JR         1537       0.8        52.6
    1306      PL6*190       1     S235JR          421       0.2         3.5
    1307      PL6*190       1     S235JR          421       0.2         3.5
    1308      PL19*313      1     S235JR         1537       0.9        62.3
    1309      PL10*250      2     S235JR          398       0.2         7.5
    1310      PL19*191      2     S235JR         1332       0.6        37.9
    1311      PL6*254       16    S235JR          398       0.2         3.7
    1313      PL10*180      2     S235JR          421       0.2         5.5
    1314      PL10*254      1     S235JR          398       0.2         7.6
    1315      PL10*230      1     S235JR          780       0.4        14.0
    1316      PL10*230      1     S235JR          780       0.4        14.0
    1341      PL19*457      8     S235JR         1962       1.2        81.9
    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 3
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    --------------------------------------------------------------------------
    1342      PL10*110      3     S235JR          670       0.2         5.8
    1344      PL19*457      8     S235JR         1962       1.2        81.9
    1345      PL10*100      2     S235JR          670       0.1         5.3
    1351      PL10*229      16    S235JR         1080       0.5        18.5
    1367      PL10*90       1     S235JR          190       0.0         1.3
    1371      PL20*729      2     S235JR          883       1.3        94.6
    1372      PL20*290      4     S235JR          315       0.2        14.3
    1373      PL5*115       8     S235JR          250       0.1         1.1
    1374      PL19*350      6     S235JR         1078       0.6        40.8
